,Year,State,County,Data Item,Value
97,1965,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",60
98,1965,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",3000
99,1965,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50
100,1964,GEORGIA,GLYNN,CORN - ACRES PLANTED,160
101,1964,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",70
102,1964,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",2000
103,1964,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.6
104,1963,GEORGIA,GLYNN,CORN - ACRES PLANTED,170
105,1963,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",70
106,1963,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",3000
107,1963,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",42.9
108,1962,GEORGIA,GLYNN,CORN - ACRES PLANTED,130
109,1962,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",100
110,1962,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",3000
111,1962,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30
112,1961,GEORGIA,GLYNN,CORN - ACRES PLANTED,110
113,1961,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",100
114,1961,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",2000
115,1961,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20
116,1960,GEORGIA,GLYNN,CORN - ACRES PLANTED,120
117,1960,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",90
118,1960,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",2000
119,1960,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",22.2
120,1959,GEORGIA,GLYNN,CORN - ACRES PLANTED,120
121,1959,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",100
122,1959,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",2100
123,1959,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",21
124,1958,GEORGIA,GLYNN,CORN - ACRES PLANTED,130
125,1958,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",100
126,1958,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",2100
127,1958,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",21
128,1957,GEORGIA,GLYNN,CORN - ACRES PLANTED,160
129,1957,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",140
130,1957,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",3000
131,1957,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",21.4
132,1956,GEORGIA,GLYNN,CORN - ACRES PLANTED,210
133,1956,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",170
134,1956,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",3700
135,1956,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",21.8
136,1955,GEORGIA,GLYNN,CORN - ACRES PLANTED,320
137,1955,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",280
138,1955,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",6800
139,1955,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.3
140,1954,GEORGIA,GLYNN,CORN - ACRES PLANTED,330
141,1954,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",290
142,1954,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",3400
143,1954,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",11.7
